CNN,ST_NAME,the_geom,ST_TYPE,CNNTEXT
51660000,CHARTER OAK,POINT (-122.40471817785834 37.73618717236195),AVE,51660000
33619000,TOWNSEND,POINT (-122.40439138125589 37.769749519923735),ST,33619000
22001000,GOLD MINE,POINT (-122.43866078027528 37.74066032445655),DR,22001000
51475000,ARGUELLO,POINT (-122.45947564992773 37.78971055920283),BLVD,51475000
23908000,05TH,POINT (-122.40184327330405 37.77903213272598),ST,23908000
26592000,FILLMORE,POINT (-122.43308339798848 37.78515094012389),ST,26592000
33178000,SAN BRUNO,POINT (-122.40142155547527 37.722369028674635),AVE,33178000
20404000,SUNRISE,POINT (-122.415955915831 37.70969486819434),WAY,20404000
27685000,32ND,POINT (-122.49053434338326 37.75549313206275),AVE,27685000
24288000,RUSS,POINT (-122.40880899411367 37.77929370225371),ST,24288000
33459000,NAGLEE,POINT (-122.45095624574034 37.71549351241602),AVE,33459000
30066000,JACKSON,POINT (-122.40779730422788 37.7958809623435),ST,30066000
26005000,CASTRO,POINT (-122.43579421323098 37.76905845384622),ST,26005000
21290000,SHOTWELL,POINT (-122.41491896324389 37.74823073104767),ST,21290000
26594000,STEINER,POINT (-122.43456209903648 37.78415186343376),ST,26594000
27484000,CLEMENT,POINT (-122.47245106094857 37.78257853781851),ST,27484000
21632000,PERSIA,POINT (-122.42959915439116 37.720090314183544),AVE,21632000
23036000,JOSEPHA,POINT (-122.47750075056577 37.71601422638823),AVE,23036000
27425000,26TH,POINT (-122.48436517174542 37.759501201942214),AVE,27425000
24808000,BATTERY,POINT (-122.4012402414252 37.79953144773348),ST,24808000
26451000,CLAYTON,POINT (-122.44970782688885 37.775389941529106),ST,26451000
27151000,07TH,POINT (-122.4642373753811 37.765066770366275),AVE,27151000
25770000,DIAMOND,POINT (-122.43652652723077 37.75353959005967),ST,25770000
24916000,MASON,POINT (-122.40993054294215 37.78742933089278),ST,24916000
27086000,06TH,POINT (-122.46316736900316 37.76511423987736),AVE,27086000
24687000,LEIDESDORFF,POINT (-122.40175412088979 37.79200342923639),ST,24687000
22230000,EDNA,POINT (-122.44729182093882 37.73154715336937),ST,22230000
50328000,ASH,POINT (-122.42240883005711 37.77934583297946),ST,50328000
26973000,SCOTT,POINT (-122.44097756105846 37.799212366621994),ST,26973000
53004000,STEUART,POINT (-122.39118298474997 37.791625734299465),ST,53004000
51996000,LELAND,POINT (-122.41546932731616 37.714740862211684),AVE,51996000
21097000,PERALTA,POINT (-122.40874913362101 37.74127737694535),AVE,21097000
27716000,33RD,POINT (-122.49199747295474 37.76103951382407),AVE,27716000
20855000,MANSELL,POINT (-122.41000174552873 37.71933156881691),ST,20855000
22272000,MANGELS,POINT (-122.44200231908557 37.7330979558651),AVE,22272000
25994000,STEINER,POINT (-122.43246706868024 37.77375698924033),ST,25994000
21635000,BRAZIL,POINT (-122.42843213212953 37.721634672937526),AVE,21635000
26403000,CLAYTON,POINT (-122.44801316093437 37.76700668068964),ST,26403000
33605000,SCHWERIN,POINT (-122.41249676742855 37.708020185075824),ST,33605000
26652000,WEBSTER,POINT (-122.43299959578239 37.79311940754522),ST,26652000
26625000,SCOTT,POINT (-122.43820638258525 37.785459341955516),ST,26625000
27306000,12TH,POINT (-122.47084599557043 37.78265240065586),AVE,27306000
50082000,I-80 E OFF,POINT (-122.40650759023225 37.773004838270985),RAMP,50082000
25486000,JEFFERSON,POINT (-122.41416443389006 37.80842105974719),ST,25486000
25231000,LEAVENWORTH,POINT (-122.41575019743716 37.79120630899068),ST,25231000
24048000,16TH,POINT (-122.41048668917078 37.765605838572974),ST,24048000
20207000,CASHMERE,POINT (-122.38656998124495 37.736719723330154),ST,20207000
33692000,INDUSTRIAL ST OFF,POINT (-122.40816909818737 37.73585911286461),RAMP,33692000
24693000,FRONT,POINT (-122.39914941955925 37.79516338591074),ST,24693000
50116000,WORDEN,POINT (-122.41059275266683 37.805481648650805),ST,50116000
23413000,QUINTARA,POINT (-122.49215591789735 37.747935694739525),ST,23413000
21499000,BRUNSWICK,POINT (-122.446705073594 37.70940240108997),ST,21499000
24887000,MINT,POINT (-122.40787123616941 37.78275064802302),PLZ,24887000
20661000,NEWCOMB,POINT (-122.38977083661644 37.735224882983665),AVE,20661000
23476000,42ND,POINT (-122.50059751355597 37.745691978351275),AVE,23476000
20679000,PHELPS,POINT (-122.39409283312784 37.736728652036525),ST,20679000
21497000,BRUNSWICK,POINT (-122.44550334417629 37.709813314843394),ST,21497000
27002000,BRODERICK,POINT (-122.44470426876669 37.80069573443116),ST,27002000
28166000,RICHARDS,POINT (-122.38577233432947 37.73578395898233),CIR,28166000
22094000,DELANO,POINT (-122.44626303603685 37.7182644134966),AVE,22094000
33136000,GALVEZ,POINT (-122.37684437432496 37.73450378915212),AVE,33136000
52259000,INDUSTRIAL,POINT (-122.40812457755989 37.737657377719316),ST,52259000
52224000,UNNAMED 129,POINT (-122.4842247279895 37.70835275444294),,52224000
22311000,CORALINO,POINT (-122.44280914286604 37.74433075939708),LN,22311000
30755000,MARKET,POINT (-122.42261969061566 37.77250281741758),ST,30755000
23933000,06TH,POINT (-122.40506850923869 37.778068981389985),ST,23933000
51845000,BURKE,POINT (-122.36805963935299 37.73424236193478),AVE,51845000
27232000,CLEMENT,POINT (-122.45899840099553 37.7831886648312),ST,27232000
25656000,CHATTANOOGA,POINT (-122.42663400783238 37.754962268353054),ST,25656000
26604000,WEBSTER,POINT (-122.43200332530446 37.78815907489617),ST,26604000
20345000,VISITACION,POINT (-122.40618512767894 37.71095726614341),AVE,20345000
35041000,DORCAS,POINT (-122.4486552637515 37.73619631775583),WAY,35041000
32999000,PORTAL,POINT (-122.4647963208786 37.7390203251545),PATH,32999000
22781000,CEDRO,POINT (-122.47031827510976 37.72715538680413),AVE,22781000
27413000,KIRKHAM,POINT (-122.48222116265117 37.759595723492176),ST,27413000
26054000,PIERCE,POINT (-122.43486377208956 37.77728066539538),ST,26054000
27713000,KIRKHAM,POINT (-122.49079440883018 37.759217525587665),ST,27713000
