LENGTH,the_geom,STREET,ST_TYPE,COMMENTS,BIKE_FAC,PBIKE_FAC,EditDate,Editor,Shape_len
336.35433684176,"MULTILINESTRING ((-71.09451254489178 42.37291156426051, -71.09436700658868 42.37289233654434, -71.09393823145246 42.37283564039011, -71.0934976246701 42.372777391581636, -71.09328712021292 42.37274956346457))",Cambridge St,St,,1,0,,,336.354336844
216.01972031314,"MULTILINESTRING ((-71.08974895961174 42.37229169042345, -71.08964871916402 42.37227843571287, -71.08933213538329 42.37223661125021, -71.08907633949987 42.372202823704576, -71.08896193770806 42.37218770671349))",Cambridge St,St,,1,0,,,216.019720306
276.87524991567,"MULTILINESTRING ((-71.09619256369189 42.369916743200235, -71.09632947106088 42.37002909980679, -71.09655517253978 42.37021429369758, -71.09677461699083 42.37039436121466, -71.09687953568127 42.37048042650565))",Hampshire St,St,,1,0,,,276.875249922
245.21757095491,"MULTILINESTRING ((-71.09534539085857 42.373016988276525, -71.09550561142817 42.37303783050475, -71.09581943410474 42.37307864037205, -71.09611232832708 42.37311671414804, -71.09623923322994 42.373133212496306))",Cambridge St,St,,1,0,,,245.217570952
228.30588201137,"MULTILINESTRING ((-71.09451254489178 42.37291156426051, -71.09466877487866 42.37293135084073, -71.0949678124239 42.3729692022167, -71.09520498668849 42.372999234043746, -71.09534539085857 42.373016988276525))",Cambridge St,St,,1,0,,,228.305882023
176.04795954369,"MULTILINESTRING ((-71.09120201768665 42.37247931719861, -71.0913187884214 42.372494522695796, -71.09148987737514 42.3725167811802, -71.09170078964084 42.37254425731057, -71.09184370294516 42.37256284795545))",Cambridge St,St,,1,0,,,176.047959552
149.80751568333,"MULTILINESTRING ((-71.09065587744547 42.372408663330255, -71.09079146943839 42.372426213923006, -71.09091559892676 42.37244226923112, -71.09110240343998 42.37246642271293, -71.09120201768665 42.37247931719861))",Cambridge St,St,,1,0,,,149.807515679
248.74781537714,"MULTILINESTRING ((-71.08974895961174 42.37229169042345, -71.08988854493867 42.37230969537713, -71.09023353362062 42.372354198926246, -71.0905585926916 42.372396105951545, -71.09065587744547 42.372408663330255))",Cambridge St,St,,1,0,,,248.747815381
138.61630928801,"MULTILINESTRING ((-71.08845632005034 42.37212352599176, -71.08859830986438 42.37214156855764, -71.08872351266724 42.37215743798941, -71.08887530144077 42.37217672264142, -71.08896193770806 42.37218770671349))",Cambridge St,St,,1,0,,,138.616309293
76.38484800003,"MULTILINESTRING ((-71.08707381392152 42.371947148938155, -71.08713985417145 42.37195545357526, -71.08724830661268 42.371969096673524, -71.08735250679723 42.37198220304043))",Cambridge St,St,,1,0,,,76.3848479959
495.94769512378,"MULTILINESTRING ((-71.08591779963552 42.36334265864544, -71.0857135863307 42.36326349732387, -71.08462327205552 42.36279828423113, -71.08432531121692 42.36266675396768))",Broadway,,,1,0,,,495.947695126
1215.0416776249,"MULTILINESTRING ((-71.08240888227554 42.36567772780189, -71.08254182559101 42.36544370105689, -71.082689518756 42.36518365887526, -71.0827461245106 42.36508403449014, -71.08280276328821 42.364984986452875, -71.08328128386076 42.364148266445824, -71.08340143283527 42.36394006900482, -71.08345798887397 42.36384203563822, -71.08383370510235 42.36329156041952, -71.08419682210328 42.36282736727857, -71.08432531121692 42.36266675396768))",3rd St,St,,1,0,,,1215.04167763
451.36521824555,"MULTILINESTRING ((-71.07984762262932 42.37102021035161, -71.07999518879004 42.371039271796036, -71.08134909730647 42.371214065900595, -71.08149318874317 42.37123267371999))",Cambridge St,St,,1,0,,,451.365218249
