,Crash Number,Date Time,Day Of Week,Object 1,Object 2,Street Number,Steet Name,Cross Street,Location,Latitude,Longitude,Coordinates,Street_ID
4130,31017,07/14/2012 03:42:00 PM,Saturday,Auto,Bicycle,,Inman St,West Pl," Inman St & West Pl Cambridge, MA",42.369969,-71.10389,"(42.369969, -71.10389)",452
4144,31033,07/19/2012 08:39:00 PM,Thursday,Auto,Bicycle,,Columbia St,MAIN ST," Columbia St & MAIN ST Cambridge, MA",42.363446,-71.0998,"(42.363446, -71.0998)",1439
4145,31036,07/19/2012 06:05:00 PM,Thursday,Auto,Bicycle,,Hampshire St,PORTSMOUTH ST," Hampshire St & PORTSMOUTH ST Cambridge, MA",42.368423,-71.094372,"(42.368423, -71.094372)",11
4159,31048,07/24/2012 07:12:00 PM,Tuesday,Auto,Bicycle,2055,Massachusetts Ave,,"2055 Massachusetts Ave Cambridge, MA",42.391393,-71.122276,"(42.391393, -71.122276)",1793
4162,31053,07/25/2012 03:49:00 PM,Wednesday,Auto,Bicycle,,Dewolfe St,GRANITE ST," Dewolfe St & GRANITE ST Cambridge, MA",42.369895,-71.116822,"(42.369895, -71.116822)",2310
4165,31055,07/26/2012 01:09:00 PM,Thursday,Auto,Bicycle,,GARDEN ST,HURON AVE," GARDEN ST & HURON AVE Cambridge, MA",42.383868,-71.129312,"(42.383868, -71.129312)",778
4178,31072,07/29/2012 11:55:00 PM,Sunday,Auto,Bicycle,,MOUNT AUBURN ST,HOLYOKE ST," MOUNT AUBURN ST & HOLYOKE ST Cambridge, MA",42.37197,-71.118574,"(42.37197, -71.118574)",2167
4189,31079,07/31/2012 02:29:00 PM,Tuesday,Auto,Bicycle,120,Massachusetts Ave,,"120 Massachusetts Ave Cambridge, MA",42.359768,-71.094767,"(42.359768, -71.094767)",2596
4190,31080,07/31/2012 05:28:00 PM,Tuesday,Auto,Bicycle,,Massachusetts Ave,REMINGTON ST," Massachusetts Ave & REMINGTON ST Cambridge, MA",42.370822,-71.113887,"(42.370822, -71.113887)",1757
4202,31091,08/02/2012 09:00:00 AM,Tuesday,Auto,Bicycle,,MOUNT AUBURN ST,MEMORIAL DR," MOUNT AUBURN ST & MEMORIAL DR Cambridge, MA",42.386721,-71.14101,"(42.386721, -71.14101)",2461
4206,31094,08/03/2012 09:59:00 AM,Friday,Bus (Other),Bicycle,65,Landsdowne St,,"65 Landsdowne St Cambridge, MA",42.360615,-71.100335,"(42.360615, -71.100335)",2253
4211,31099,08/04/2012 11:29:00 AM,Saturday,Auto,Bicycle,,FIRST ST,Charles St," FIRST ST & Charles St Cambridge, MA",42.367229,-71.077734,"(42.367229, -71.077734)",1232
4216,31104,08/05/2012 09:00:00 PM,Sunday,Auto,Bicycle,,Sparks St,Brattle St," Sparks St & Brattle St Cambridge, MA",42.377845,-71.130167,"(42.377845, -71.130167)",2386
4220,31108,08/06/2012 04:09:00 PM,Monday,Auto,Bicycle,1651,Massachusetts Ave,,"1651 Massachusetts Ave Cambridge, MA",42.381442,-71.119433,"(42.381442, -71.119433)",1693
