,Crash Number,Date Time,Day Of Week,Object 1,Object 2,Street Number,Steet Name,Cross Street,Location,Latitude,Longitude,Coordinates,Street_ID
5940,29681,09/26/2013 05:29:00 PM,Thursday,Auto,Bicycle,,Brookline St,GRANITE ST," Brookline St & GRANITE ST Cambridge, MA",42.355082,-71.110329,"(42.355082, -71.110329)",1914
5952,29702,09/30/2013 05:19:00 PM,Monday,Auto,Bicycle,15,Vassar St,,"15 Vassar St Cambridge, MA",42.362495,-71.090356,"(42.362495, -71.090356)",459
5964,29715,10/02/2013 07:50:00 AM,Wednesday,Auto,Bicycle,96,Concord Ave,,"96 Concord Ave Cambridge, MA",42.381294,-71.129389,"(42.381294, -71.129389)",880
5974,29726,10/03/2013 06:00:00 PM,Thursday,Auto,Bicycle,,Cambridge St,Warren St," Cambridge St & Warren St Cambridge, MA",42.372102,-71.088276,"(42.372102, -71.088276)",2578
5977,29727,10/04/2013 06:26:00 PM,Friday,Auto,Bicycle,,Massachusetts Ave,Windsor St," Massachusetts Ave & Windsor St Cambridge, MA",42.361389,-71.096953,"(42.361389, -71.096953)",12
5990,29739,10/05/2013 11:58:00 PM,Saturday,Auto,Bicycle,,MOUNT AUBURN ST,HOLYOKE ST," MOUNT AUBURN ST & HOLYOKE ST Cambridge, MA",42.37197,-71.118574,"(42.37197, -71.118574)",2167
5999,29746,10/07/2013 12:11:00 PM,Monday,Auto,Bicycle,130,Waverly St,,"130 Waverly St Cambridge, MA",42.356412,-71.105314,"(42.356412, -71.105314)",1458
6003,29754,10/09/2013 06:10:00 PM,Wednesday,Auto,Bicycle,,JFK St,SOUTH ST," JFK St & SOUTH ST Cambridge, MA",42.371633,-71.120922,"(42.371633, -71.120922)",82
6004,29755,10/10/2013 08:00:00 AM,Thursday,Auto,Bicycle,,Massachusetts Ave,Rindge Ave," Massachusetts Ave & Rindge Ave Cambridge, MA",42.392615,-71.124874,"(42.392615, -71.124874)",780
6005,29756,10/10/2013 08:00:00 AM,Thursday,Auto,Bicycle,,GARDEN ST,Bond St," GARDEN ST & Bond St Cambridge, MA",42.381403,-71.126133,"(42.381403, -71.126133)",1361
6007,29758,10/10/2013 12:55:00 PM,Thursday,Taxi,Bicycle,,Rindge Ave,MONTGOMERY ST," Rindge Ave & MONTGOMERY ST Cambridge, MA",42.393507,-71.133107,"(42.393507, -71.133107)",1001
6009,29760,10/10/2013 06:46:00 PM,Thursday,Auto,Bicycle,1637,Massachusetts Ave,,"1637 Massachusetts Ave Cambridge, MA",42.381028,-71.119515,"(42.381028, -71.119515)",1060
6010,29774,10/10/2013 05:19:00 PM,Thursday,Auto,Bicycle,189,Hampshire St,,"189 Hampshire St Cambridge, MA",42.372839,-71.099443,"(42.372839, -71.099443)",2147
6012,29761,10/11/2013 09:00:00 AM,Friday,Auto,Bicycle,,Concord Ave,Chilton St," Concord Ave & Chilton St Cambridge, MA",42.384918,-71.136532,"(42.384918, -71.136532)",183
6018,29797,10/11/2013 09:49:00 PM,Friday,Auto,Bicycle,306,Webster Ave,,"306 Webster Ave Cambridge, MA",42.373602,-71.094629,"(42.373602, -71.094629)",25
6026,30041,10/13/2013 05:00:00 PM,Friday,Auto,Bicycle,,Fern St,Concord Ave," Fern St & Concord Ave Cambridge, MA",42.385955,-71.138872,"(42.385955, -71.138872)",1792
6031,29776,10/15/2013 05:38:00 PM,Tuesday,Auto,Bicycle,,Broadway,Norfolk St," Broadway & Norfolk St Cambridge, MA",42.36852,-71.099001,"(42.36852, -71.099001)",107
6033,29780,10/16/2013 06:23:00 PM,Wednesday,Auto,Bicycle,,Concord Ave,FAYERWEATHER ST," Concord Ave & FAYERWEATHER ST Cambridge, MA",42.384591,-71.135792,"(42.384591, -71.135792)",539
6036,29783,10/17/2013 03:56:00 PM,Thursday,Pedestrian,Bicycle,,Hampshire St,Cambridge St," Hampshire St & Cambridge St Cambridge, MA",42.373729,-71.100837,"(42.373729, -71.100837)",2533
6039,29787,10/17/2013 06:30:00 PM,Thursday,Auto,Bicycle,,Concord Ave,Craigie St," Concord Ave & Craigie St Cambridge, MA",42.379415,-71.125713,"(42.379415, -71.125713)",1373
6048,29812,10/19/2013 01:02:00 PM,Saturday,Auto,Bicycle,402,Rindge Ave,,"402 Rindge Ave Cambridge, MA",42.393109,-71.140016,"(42.393109, -71.140016)",1805
6058,29803,10/22/2013 09:00:00 AM,Tuesday,Auto,Bicycle,,Third St,SPRING ST," Third St & SPRING ST Cambridge, MA",42.368965,-71.080324,"(42.368965, -71.080324)",1305
6060,29805,10/22/2013 11:29:00 AM,Tuesday,Auto,Bicycle,147,Columbia St,,"147 Columbia St Cambridge, MA",42.36685,-71.098035,"(42.36685, -71.098035)",1670
6063,29808,10/22/2013 10:30:00 AM,Tuesday,Bicycle,Parked Vehicle,,Western Ave,HEWS ST," Western Ave & HEWS ST Cambridge, MA",42.364554,-71.113083,"(42.364554, -71.113083)",1610
6066,29814,10/23/2013 03:55:00 PM,Wednesday,Auto,Bicycle,,Massachusetts Ave,Upland Rd," Massachusetts Ave & Upland Rd Cambridge, MA",42.388173,-71.119415,"(42.388173, -71.119415)",2009
6089,29835,10/25/2013 08:39:00 AM,Saturday,Auto,Bicycle,,Broadway,LEE ST," Broadway & LEE ST Cambridge, MA",42.370823,-71.104839,"(42.370823, -71.104839)",345
6093,29856,10/25/2013 02:45:00 PM,Friday,Auto,Bicycle,,Massachusetts Ave,Vassar St," Massachusetts Ave & Vassar St Cambridge, MA",42.360154,-71.094882,"(42.360154, -71.094882)",459
6099,29842,10/27/2013 06:24:00 PM,Sunday,Auto,Bicycle,,Hampshire St,Tremont St," Hampshire St & Tremont St Cambridge, MA",42.371501,-71.098121,"(42.371501, -71.098121)",2008
6101,29848,10/27/2013 06:49:00 PM,Sunday,Auto,Bicycle,,MOUNT AUBURN ST,Dewolfe St," MOUNT AUBURN ST & Dewolfe St Cambridge, MA",42.371077,-71.116118,"(42.371077, -71.116118)",2293
6108,29857,10/29/2013 12:17:00 PM,Tuesday,Auto,Bicycle,1781,Massachusetts Ave,Lancaster St,"1781 Massachusetts Ave Cambridge, MA",42.369202,-71.110689,"(42.369202, -71.110689)",1137
6110,29859,10/29/2013 05:48:00 PM,Tuesday,Auto,Bicycle,,Massachusetts Ave,GOLD STAR RD," Massachusetts Ave & GOLD STAR RD Cambridge, MA",42.398306,-71.131306,"(42.398306, -71.131306)",278
6118,29866,10/30/2013 08:00:00 PM,Wednesday,Auto,Bicycle,,GREEN ST,Brookline St," GREEN ST & Brookline St Cambridge, MA",42.363417,-71.101935,"(42.363417, -71.101935)",2200
6138,29887,11/04/2013 05:45:00 PM,Monday,Auto,Bicycle,,Albany St,Massachusetts Ave," Albany St & Massachusetts Ave Cambridge, MA",42.360828,-71.096012,"(42.360828, -71.096012)",450
6139,29888,11/05/2013 11:55:00 AM,Tuesday,Auto,Bicycle,,Massachusetts Ave,Vassar St," Massachusetts Ave & Vassar St Cambridge, MA",42.360154,-71.094882,"(42.360154, -71.094882)",459
6140,29889,11/05/2013 05:04:00 PM,Tuesday,Auto,Bicycle,45,Sidney St,,"45 Sidney St Cambridge, MA",42.361916,-71.101423,"(42.361916, -71.101423)",413
6144,29893,11/06/2013 07:40:00 AM,Wednesday,Auto,Bicycle,,PROSPECT ST,Bishop Allen Dr," PROSPECT ST & Bishop Allen Dr Cambridge, MA",42.366343,-71.10316,"(42.366343, -71.10316)",1179
6157,29909,11/08/2013 03:13:00 PM,Friday,Auto,Bicycle,1,Brattle Sq,,"1 Brattle Sq Cambridge, MA",42.373137,-71.121296,"(42.373137, -71.121296)",2544
6158,29910,11/08/2013 03:58:00 PM,Friday,Bicycle,Auto,,Cambridge St,IRVING ST," Cambridge St & IRVING ST Cambridge, MA",42.375056,-71.1111,"(42.375056, -71.1111)",2106
6160,29912,11/08/2013 07:28:00 PM,Friday,Auto,Bicycle,,MOUNT AUBURN ST,ELIOT ST," MOUNT AUBURN ST & ELIOT ST Cambridge, MA",42.372869,-71.1214,"(42.372869, -71.1214)",2544
6161,29913,11/08/2013 10:06:00 PM,Friday,Auto,Bicycle,,Massachusetts Ave,Vassar St," Massachusetts Ave & Vassar St Cambridge, MA",42.360154,-71.094882,"(42.360154, -71.094882)",459
6171,29954,11/19/2013 09:30:00 AM,Tuesday,Taxi,Bicycle,,Vassar St,MAIN ST," Vassar St & MAIN ST Cambridge, MA",42.362709,-71.089933,"(42.362709, -71.089933)",1129
6173,29904,11/11/2013 01:40:00 PM,Monday,Auto,Bicycle,212,Hampshire St,,"212 Hampshire St Cambridge, MA",42.373323,-71.100533,"(42.373323, -71.100533)",1387
6178,29927,11/13/2013 10:54:00 AM,Wednesday,Auto,Bicycle,,Hampshire St,PROSPECT ST," Hampshire St & PROSPECT ST Cambridge, MA",42.372202,-71.098975,"(42.372202, -71.098975)",2051
6189,29971,11/15/2013 08:10:00 AM,Friday,Motorcycle,Bicycle,,SOMERVILLE AVE,White St," SOMERVILLE AVE & White St Cambridge, MA",42.388566,-71.11904,"(42.388566, -71.11904)",212
6191,29941,11/17/2013 06:04:00 PM,Sunday,Auto,Bicycle,325,Vassar St,,"325 Vassar St Cambridge, MA",42.354934,-71.105695,"(42.354934, -71.105695)",1947
6194,29945,11/18/2013 06:40:00 AM,Monday,Auto,Bicycle,,Massachusetts Ave,PEARL ST," Massachusetts Ave & PEARL ST Cambridge, MA",42.36471,-71.102567,"(42.36471, -71.102567)",1876
6196,29947,11/18/2013 04:47:00 PM,Monday,Auto,Bicycle,,MIDDLESEX ST,Rindge Ave," MIDDLESEX ST & Rindge Ave Cambridge, MA",42.393382,-71.131032,"(42.393382, -71.131032)",2177
6212,29963,11/20/2013 09:13:00 AM,Wednesday,Auto,Bicycle,,Massachusetts Ave,Rice St," Massachusetts Ave & Rice St Cambridge, MA",42.395333,-71.127921,"(42.395333, -71.127921)",1809
6214,29964,11/21/2013 09:10:00 AM,Thursday,Auto,Bicycle,190,Albany St,,"190 Albany St Cambridge, MA",42.359275,-71.099342,"(42.359275, -71.099342)",1675
6235,29983,11/26/2013 12:01:00 AM,Tuesday,Auto,Bicycle,,Massachusetts Ave,Vassar St," Massachusetts Ave & Vassar St Cambridge, MA",42.360154,-71.094882,"(42.360154, -71.094882)",459
6262,30016,12/03/2013 05:12:00 PM,Tuesday,Auto,Bicycle,,Cardinal Medeiros Ave,Michael Way," Cardinal Medeiros Ave & Michael Way Cambridge, MA",42.369754,-71.089806,"(42.369754, -71.089806)",2337
6269,30024,12/06/2013 07:40:00 PM,Friday,Truck,Bicycle,,Massachusetts Ave,Vassar St," Massachusetts Ave & Vassar St Cambridge, MA",42.360154,-71.094882,"(42.360154, -71.094882)",459
6287,30043,12/11/2013 06:14:00 PM,Wednesday,Auto,Bicycle,975,Cambridge St,,"975 Cambridge St Cambridge, MA",42.372832,-71.092966,"(42.372832, -71.092966)",1923
6329,30090,12/20/2013 05:57:00 PM,Friday,Auto,Bicycle,297,Broadway,,"297 Broadway Cambridge, MA",42.368828,-71.099429,"(42.368828, -71.099429)",122
6400,30163,01/06/2014 05:30:00 PM,Monday,Auto,Bicycle,,Cambridge St,OAK ST,"Cambridge St & OAK ST Cambridge, MA",42.3735771,-71.0996628,"(42.3735771, -71.0996628)",61
6465,31749,02/06/2014 09:15:00 AM,Thursday,Auto,Bicycle,,Cambridge St,Windsor St,"Cambridge St & Windsor St Cambridge, MA",42.3727493,-71.0932846,"(42.3727493, -71.0932846)",1923
6549,31838,02/20/2014 01:15:00 PM,Thursday,Auto,Bicycle,,GRANITE ST,PEARL ST,"GRANITE ST & PEARL ST Cambridge, MA",42.3559914,-71.1120148,"(42.3559914, -71.1120148)",910
6554,31843,02/20/2014 11:50:00 AM,Thursday,Auto,Bicycle,,Massachusetts Ave,Windsor St,"Massachusetts Ave & Windsor St Cambridge, MA",42.3613892,-71.0969543,"(42.3613892, -71.0969543)",12
6597,31888,02/28/2014 06:05:00 AM,Friday,Auto,Bicycle,1575,Cambridge St,,"1575 Cambridge St Cambridge, MA",42.3745842,-71.10746,"(42.3745842, -71.10746)",2236
6632,31924,03/12/2014 08:57:00 AM,Wednesday,Auto,Bicycle,,Hampshire St,Union St,"Hampshire St & Union St Cambridge, MA",42.3693619,-71.09552,"(42.3693619, -71.09552)",1041
6667,31962,03/20/2014 07:45:00 AM,Thursday,Auto,Bicycle,,HARVEY ST,Jackson St,"HARVEY ST & Jackson St Cambridge, MA",42.3974724,-71.1353302,"(42.3974724, -71.1353302)",2484
6670,31965,03/20/2014 03:20:00 PM,Thursday,Auto,Bicycle,2130,Massachusetts Ave,,"2130 Massachusetts Ave Cambridge, MA",42.3917809,-71.123909,"(42.3917809, -71.123909)",1873
6686,31981,04/03/2014 08:45:00 AM,Thursday,Auto,Bicycle,57,SHERMAN ST,,"57 SHERMAN ST Cambridge, MA",42.3870888,-71.1315994,"(42.3870888, -71.1315994)",1833
6694,31989,04/04/2014 07:05:00 PM,Friday,Auto,Bicycle,,KIRKLAND ST,MYRTLE AVE,"KIRKLAND ST & MYRTLE AVE Cambridge, MA",42.3779678,-71.1078262,"(42.3779678, -71.1078262)",2091
6696,31991,04/07/2014 08:40:00 AM,Monday,Auto,Bicycle,,Broadway,Hampshire St,"Broadway & Hampshire St Cambridge, MA",42.3654366,-71.0911102,"(42.3654366, -71.0911102)",249
6703,31997,04/07/2014 08:40:00 AM,Monday,Auto,Bicycle,,Broadway,Hampshire St,"Broadway & Hampshire St Cambridge, MA",42.3654366,-71.0911102,"(42.3654366, -71.0911102)",249
6718,32013,04/09/2014 12:19:00 PM,Wednesday,Auto,Bicycle,,Massachusetts Ave,Vassar St,"Massachusetts Ave & Vassar St Cambridge, MA",42.3601532,-71.0948792,"(42.3601532, -71.0948792)",459
6724,32019,04/10/2014 07:58:00 PM,Thursday,Auto,Bicycle,,Brookline St,Tudor St,"Brookline St & Tudor St Cambridge, MA",42.3607063,-71.1044998,"(42.3607063, -71.1044998)",2271
6744,32039,04/14/2014 08:43:00 PM,Monday,Auto,Bicycle,,Massachusetts Ave,Temple St,"Massachusetts Ave & Temple St Cambridge, MA",42.3659744,-71.1046753,"(42.3659744, -71.1046753)",1884
6750,32045,04/18/2014 09:10:00 AM,Friday,Auto,Bicycle,,HURON AVE,Appleton St,"HURON AVE & Appleton St Cambridge, MA",42.3815231,-71.1341019,"(42.3815231, -71.1341019)",1749
6771,32066,04/24/2014 07:48:00 AM,Thursday,Auto,Bicycle,,Brattle St,MASON ST,"Brattle St & MASON ST Cambridge, MA",42.375988,-71.1246109,"(42.375988, -71.1246109)",440
6772,32067,04/24/2014 10:50:00 AM,Thursday,Auto,Bicycle,,Broadway,DAVIS ST,"Broadway & DAVIS ST Cambridge, MA",42.3660202,-71.0926437,"(42.3660202, -71.0926437)",962
6778,32073,04/24/2014 05:00:00 PM,Thursday,Auto,Bicycle,,Massachusetts Ave,Russell St,"Massachusetts Ave & Russell St Cambridge, MA",42.391758,-71.1238861,"(42.391758, -71.1238861)",744
6808,32103,05/06/2014 08:05:00 AM,Tuesday,Auto,Bicycle,838,Massachusetts Ave,,"838 Massachusetts Ave Cambridge, MA",42.3673058,-71.1068344,"(42.3673058, -71.1068344)",2534
6812,32108,05/06/2014 08:54:00 AM,Tuesday,Auto,Bicycle,,Columbia St,Hampshire St,"Columbia St & Hampshire St Cambridge, MA",42.369915,-71.0961914,"(42.369915, -71.0961914)",969
6824,32122,05/02/2014 09:05:00 AM,Friday,Auto,Bicycle,335,Broadway,,"335 Broadway Cambridge, MA",42.3699226,-71.1025543,"(42.3699226, -71.1025543)",1146
6831,32129,05/06/2014 08:35:00 AM,Tuesday,Auto,Bicycle,,Cambridge St,PROSPECT ST,"Cambridge St & PROSPECT ST Cambridge, MA",42.3733788,-71.0981369,"(42.3733788, -71.0981369)",2043
6846,32146,05/09/2014 08:10:00 AM,Friday,Taxi,Bicycle,,Broadway,Cambridge Ctr,"Broadway & Cambridge Ctr Cambridge, MA",42.3756142,-71.1157303,"(42.3756142, -71.1157303)",1454
6871,32169,05/15/2014 02:10:00 PM,Thursday,Bicycle,Parked Vehicle,2100,Massachusetts Ave,,"2100 Massachusetts Ave Cambridge, MA",42.3917465,-71.1238632,"(42.3917465, -71.1238632)",45
6888,32186,05/18/2014 03:00:00 PM,Sunday,Auto,Bicycle,,Brattle St,Longfellow Park,"Brattle St & Longfellow Park Cambridge, MA",42.3764877,-71.1267242,"(42.3764877, -71.1267242)",1992
6891,32189,05/19/2014 07:30:00 PM,Monday,Auto,Bicycle,,Western Ave,Putnam Ave,"Western Ave & Putnam Ave Cambridge, MA",42.3644829,-71.1138916,"(42.3644829, -71.1138916)",670
6917,32214,05/17/2014 08:38:00 PM,Saturday,Auto,Bicycle,,Massachusetts Ave,ROSELAND ST,"Massachusetts Ave & ROSELAND ST Cambridge, MA",42.3868217,-71.1191788,"(42.3868217, -71.1191788)",2141
6945,32242,05/31/2014 11:48:00 PM,Saturday,Taxi,Bicycle,,Ames St,MEMORIAL DR,"Ames St & MEMORIAL DR Cambridge, MA",42.3592377,-71.0871658,"(42.3592377, -71.0871658)",186
6952,32249,05/28/2014 06:16:00 PM,Wednesday,Auto,Bicycle,1430,Massachusetts Ave,,"1430 Massachusetts Ave Cambridge, MA",42.3739471,-71.118927,"(42.3739471, -71.118927)",442
6959,32256,06/01/2014 01:30:00 PM,Sunday,Auto,Bicycle,,Hampshire St,Columbia St,"Hampshire St & Columbia St Cambridge, MA",42.369915,-71.0961914,"(42.369915, -71.0961914)",969
6963,32260,06/02/2014 06:51:00 PM,Monday,Auto,Bicycle,1,MAIN ST,,"1 MAIN ST Cambridge, MA",42.3629036,-71.0926971,"(42.3629036, -71.0926971)",2456
6965,32262,06/02/2014 07:10:00 PM,Monday,Auto,Bicycle,926,Massachusetts Ave,,"926 Massachusetts Ave Cambridge, MA",42.3684883,-71.109024,"(42.3684883, -71.109024)",1773
6968,32265,06/03/2014 01:30:00 PM,Tuesday,Auto,Bicycle,,Brookline St,EMILY ST,"Brookline St & EMILY ST Cambridge, MA",42.3602104,-71.1050262,"(42.3602104, -71.1050262)",765
6979,32276,06/03/2014 06:38:00 PM,Tuesday,Bicycle,Bicycle,36,Willow St,,"36 Willow St Cambridge, MA",42.3708534,-71.0927963,"(42.3708534, -71.0927963)",398
6982,32279,06/07/2014 05:08:00 PM,Saturday,Bicycle,Parked Vehicle,49,Inman St,,"49 Inman St Cambridge, MA",42.3693848,-71.1034012,"(42.3693848, -71.1034012)",1442
6998,32296,06/14/2014 08:39:00 PM,Friday,Auto,Bicycle,,KIRKLAND ST,QUINCY ST,"KIRKLAND ST & QUINCY ST Cambridge, MA",42.3766365,-71.1140823,"(42.3766365, -71.1140823)",1952
7004,32302,06/12/2014 04:46:00 PM,Thursday,Auto,Bicycle,,PROSPECT ST,HARVARD ST,"PROSPECT ST & HARVARD ST Cambridge, MA",42.3683014,-71.1017456,"(42.3683014, -71.1017456)",1096
7014,32312,06/17/2014 12:15:00 PM,Tuesday,Auto,Bicycle,,MOUNT AUBURN ST,HOLYOKE ST,"MOUNT AUBURN ST & HOLYOKE ST Cambridge, MA",42.3719711,-71.118576,"(42.3719711, -71.118576)",2167
7041,32339,06/24/2014 07:45:00 AM,Tuesday,Auto,Bicycle,,Massachusetts Ave,Bay St,"Massachusetts Ave & Bay St Cambridge, MA",42.3689919,-71.1102676,"(42.3689919, -71.1102676)",1773
7042,32340,06/24/2014 09:57:00 PM,Tuesday,Auto,Bicycle,,Bristol St,Webster Ave,"Bristol St & Webster Ave Cambridge, MA",42.368309,-71.0928574,"(42.368309, -71.0928574)",1015
7073,32371,07/01/2014 11:56:00 AM,Tuesday,Auto,Bicycle,,Hampshire St,Broadway,"Hampshire St & Broadway Cambridge, MA",42.3654366,-71.0911102,"(42.3654366, -71.0911102)",249
7078,32376,07/03/2014 12:30:00 PM,Thursday,Taxi,Bicycle,75,Ames St,,"75 Ames St Cambridge, MA",42.3639374,-71.0874405,"(42.3639374, -71.0874405)",2295
7080,32378,07/03/2014 09:56:00 AM,Thursday,Taxi,Bicycle,,Broadway,Dana St,"Broadway & Dana St Cambridge, MA",42.3723183,-71.1086197,"(42.3723183, -71.1086197)",72
7089,32387,07/08/2014 08:40:00 PM,Tuesday,Auto,Bicycle,195,Hampshire St,,"195 Hampshire St Cambridge, MA",42.3729401,-71.0998764,"(42.3729401, -71.0998764)",1178
7091,32389,07/09/2014 11:44:00 AM,Wednesday,Truck,Bicycle,,Massachusetts Ave,HARVARD ST,"Massachusetts Ave & HARVARD ST Cambridge, MA",42.3725471,-71.1159973,"(42.3725471, -71.1159973)",159
7100,32398,07/11/2014 01:50:00 PM,Friday,Auto,Bicycle,,MAIN ST,Broadway,"MAIN ST & Broadway Cambridge, MA",42.362072,-71.0826645,"(42.362072, -71.0826645)",619
7104,32402,07/12/2014 01:02:00 PM,Saturday,Auto,Bicycle,200,Broadway,,"200 Broadway Cambridge, MA",42.3660316,-71.0926666,"(42.3660316, -71.0926666)",959
7106,32404,07/14/2014 01:47:00 AM,Monday,Auto,Bicycle,,PROSPECT ST,HARVARD ST,"PROSPECT ST & HARVARD ST Cambridge, MA",42.3683014,-71.1017456,"(42.3683014, -71.1017456)",1096
7108,32406,07/14/2014 09:00:00 AM,Monday,Taxi,Bicycle,77,Massachusetts Ave,,"77 Massachusetts Ave Cambridge, MA",42.3592186,-71.0937195,"(42.3592186, -71.0937195)",2596
7126,32424,07/18/2014 09:30:00 PM,Friday,Auto,Bicycle,,Portland St,Hampshire St,"Portland St & Hampshire St Cambridge, MA",42.3662949,-71.0917816,"(42.3662949, -71.0917816)",2431
7131,32429,07/09/2014 07:43:00 PM,Wednesday,Auto,Bicycle,,KIRKLAND ST,MYRTLE AVE,"KIRKLAND ST & MYRTLE AVE Cambridge, MA",42.3779678,-71.1078262,"(42.3779678, -71.1078262)",2091
7148,32447,07/16/2014 10:46:00 PM,Wednesday,Bicycle,Pedestrian,,Western Ave,MEMORIAL DR,"Western Ave & MEMORIAL DR Cambridge, MA",42.3643036,-71.1160736,"(42.3643036, -71.1160736)",1988
7152,32451,06/12/2014 04:46:00 PM,Thursday,Auto,Bicycle,,PROSPECT ST,HARVARD ST,"PROSPECT ST & HARVARD ST Cambridge, MA",42.3683014,-71.1017456,"(42.3683014, -71.1017456)",1096
7162,32462,07/27/2014 11:40:00 AM,Wednesday,Auto,Bicycle,,Windsor St,MAIN ST,"Windsor St & MAIN ST Cambridge, MA",42.3632088,-71.0967026,"(42.3632088, -71.0967026)",1034
7169,32469,07/28/2014 01:47:00 PM,Monday,Auto,Bicycle,,Putnam Ave,Magee St,"Putnam Ave & Magee St Cambridge, MA",42.366394,-71.1135559,"(42.366394, -71.1135559)",2352
7189,32489,07/30/2014 05:18:00 PM,Wednesday,Auto,Bicycle,222,Broadway,,"222 Broadway Cambridge, MA",42.3665237,-71.0939255,"(42.3665237, -71.0939255)",16
7194,32494,07/31/2014 08:45:00 AM,Thursday,Auto,Bicycle,,Binney St,FIFTH ST,"Binney St & FIFTH ST Cambridge, MA",42.3659401,-71.0844345,"(42.3659401, -71.0844345)",1317
7198,32498,07/31/2014 10:36:00 PM,Thursday,Auto,Bicycle,,PEARL ST,Franklin St,"PEARL ST & Franklin St Cambridge, MA",42.3636513,-71.1037369,"(42.3636513, -71.1037369)",2414
7201,32502,08/03/2014 07:43:00 PM,Sunday,Taxi,Bicycle,,Bishop Allen Dr,PROSPECT ST,"Bishop Allen Dr & PROSPECT ST Cambridge, MA",42.3663445,-71.103157,"(42.3663445, -71.103157)",1179
7205,32506,08/06/2014 10:28:00 AM,Wednesday,Auto,Bicycle,,Hampshire St,Tremont St,"Hampshire St & Tremont St Cambridge, MA",42.3715019,-71.0981216,"(42.3715019, -71.0981216)",2008
7210,32511,08/07/2014 09:03:00 AM,Thursday,Auto,Bicycle,,Ames St,MAIN ST,"Ames St & MAIN ST Cambridge, MA",42.3625793,-71.0881653,"(42.3625793, -71.0881653)",2316
7228,32529,08/12/2014 05:28:00 PM,Tuesday,Auto,Bicycle,,Hampshire St,Cambridge St,"Hampshire St & Cambridge St Cambridge, MA",42.3737297,-71.1008377,"(42.3737297, -71.1008377)",2533
7229,32530,08/12/2014 07:45:00 PM,Tuesday,Auto,Bicycle,349,Columbia St,,"349 Columbia St Cambridge, MA",42.3716431,-71.0952072,"(42.3716431, -71.0952072)",1213
7253,32557,08/17/2014 09:21:00 PM,Sunday,Auto,Bicycle,,Brookline St,Franklin St,"Brookline St & Franklin St Cambridge, MA",42.3628693,-71.1024323,"(42.3628693, -71.1024323)",857
7257,32562,08/18/2014 05:33:00 PM,Monday,Auto,Bicycle,,MOUNT AUBURN ST,HAWTHORNE ST,"MOUNT AUBURN ST & HAWTHORNE ST Cambridge, MA",42.3744316,-71.1264191,"(42.3744316, -71.1264191)",981
7258,32563,08/18/2014 11:12:00 PM,Monday,Auto,Bicycle,,Appian Way,Brattle St,"Appian Way & Brattle St Cambridge, MA",42.374855,-71.122345,"(42.374855, -71.122345)",1369
7264,32569,08/19/2014 07:14:00 PM,Tuesday,Auto,Bicycle,17-1,Lilac Ct,Cardinal Medeiros Ave,"17-1 Lilac Ct Cambridge, MA",42.3674355,-71.0916443,"(42.3674355, -71.0916443)",333
7267,32573,08/20/2014 02:45:00 PM,Wednesday,Auto,Bicycle,,Massachusetts Ave,Sidney St,"Massachusetts Ave & Sidney St Cambridge, MA",42.3629494,-71.0995789,"(42.3629494, -71.0995789)",584
7282,32588,08/25/2014 06:19:00 PM,Monday,Auto,Bicycle,325,Vassar St,,"325 Vassar St Cambridge, MA",42.3549843,-71.1053772,"(42.3549843, -71.1053772)",1947
7283,32589,08/25/2014 06:29:00 PM,Monday,Taxi,Bicycle,,Massachusetts Ave,GARDEN ST,"Massachusetts Ave & GARDEN ST Cambridge, MA",42.3754883,-71.1199188,"(42.3754883, -71.1199188)",1724
7289,32595,08/27/2014 08:20:00 AM,Wednesday,Auto,Bicycle,,Massachusetts Ave,Walden St,"Massachusetts Ave & Walden St Cambridge, MA",42.3913727,-71.1232681,"(42.3913727, -71.1232681)",757
7299,32605,08/29/2014 05:35:00 PM,Friday,Auto,Bicycle,,Willow St,PALERMO ST,"Willow St & PALERMO ST Cambridge, MA",42.3716888,-71.0923233,"(42.3716888, -71.0923233)",403
7314,32619,09/03/2014 09:40:00 AM,Wednesday,Auto,Bicycle,,Broadway,Boardman Pl,"Broadway & Boardman Pl Cambridge, MA",42.3674927,-71.0963974,"(42.3674927, -71.0963974)",1153
7317,32624,09/05/2014 09:20:00 AM,Friday,Auto,Bicycle,,Hampshire St,Cambridge St,"Hampshire St & Cambridge St Cambridge, MA",42.3737297,-71.1008377,"(42.3737297, -71.1008377)",2533
7319,32627,09/02/2014 04:05:00 PM,Tuesday,Auto,Bicycle,,Massachusetts Ave,Vassar St,"Massachusetts Ave & Vassar St Cambridge, MA",42.3601532,-71.0948792,"(42.3601532, -71.0948792)",459
7323,32631,09/03/2014 11:47:00 AM,Wednesday,Auto,Bicycle,,QUINCY ST,Cambridge St,"QUINCY ST & Cambridge St Cambridge, MA",42.375473,-71.1143188,"(42.375473, -71.1143188)",341
7328,32636,09/03/2014 02:30:00 PM,Wednesday,Auto,Bicycle,,Vassar St,MEMORIAL DR,"Vassar St & MEMORIAL DR Cambridge, MA",42.3534393,-71.1071396,"(42.3534393, -71.1071396)",1435
7343,32655,09/09/2014 11:41:00 AM,Tuesday,Auto,Bicycle,,Cedar St,DUDLEY ST,"Cedar St & DUDLEY ST Cambridge, MA",42.3957939,-71.1308594,"(42.3957939, -71.1308594)",2255
